Aberdeen JC,"Rozier, Bob",1979,1979,DE,6' 3'',240,Anchorage,AK,USA,"Cordova (Sacramento, CA)"
University of California - Los Angeles,"Jenkins, Robert",1987,1996,DE/LB/OT/T,6' 5'',258,San Francisco,CA,USA,Dublin (CA)
University of California - Los Angeles,"Johnson, Jimmy",1961,1976,CB/DB/DHB/OHB/S,6' 2'',188,Dallas,TX,USA,Kingsburg (CA)
University of California - Los Angeles,"Johnson, Kermit",1975,1976,RB,6' 0'',201,Los Angeles,CA,USA,"Blair (Pasadena, CA)"
University of California - Los Angeles,"Johnson, Mitch",1965,1971,OG/OT/T,6' 4'',249,Chicago,IL,USA,"Centennial (Compton, CA)"
University of California - Los Angeles,"Johnson, Norm",1982,1999,K/P,6' 2'',210,Garden Grove,CA,USA,"Pacifica (Garden Grove, CA)"
University of California - Los Angeles,"Jones, Brian",1991,1998,LB,6' 1'',266,Iowa City,IA,USA,"Dunbar (Lubbock, TX)"
University of California - Los Angeles,"Jones, Greg",1970,2010,RB,6' 1'',200,San Francisco,,,South San Francisco (CA)
University of California - Los Angeles,"Jones, Jimmie",1974,1974,RB,5' 10'',205,Los Angeles,CA,USA,"Manual Arts (Los Angeles, CA)"
University of California - Los Angeles,"Jones-Drew, Maurice",2006,2010,RB,5' 7'',212,Oakland,,,
University of California - Los Angeles,"Jordan, Kevin",1996,1996,WR,6' 1'',188,Washington,DC,USA,"High Point (Bettsville, MD)"
University of California - Los Angeles,"Keeble, Joe",1937,1937,FB/HB,6' 0'',190,Cleburne,TX,USA,Oneonta Military Academy (CA)
University of California - Los Angeles,"Kilmer, Billy",1961,1978,OHB/QB,6' 0'',201,Topeka,KS,USA,"Citrus (Azusa, CA)"
University of California - Los Angeles,"Kirschke, Travis",1997,2009,DE,6' 3'',288,Fullerton,CA,USA,"Esperanza (Anaheim, CA)"
University of California - Los Angeles,"Kluwe, Chris",2005,2010,P,6' 4'',215,Philadelphia,,,Los Alamitos (CA)
University of California - Los Angeles,"Knapple, Jeff",1980,1980,QB,6' 2'',200,Wertzburg,,,"Fairview (Boulder, CO)"
University of California - Los Angeles,"Knox, Ronnie",1957,1957,QB,6' 2'',198,Chicago,IL,USA,Santa Monica (CA)
University of California - Los Angeles,"Kuehn, Art",1976,1983,C/OG,6' 3'',258,Victoria,,B.C.,"Cubberley (Palo Alto, CA)"
University of California - Los Angeles,"Kurrasch, Roy",1947,1948,DE/E/OE,6' 2'',195,Toledo,OH,USA,"Hollywood (Los Angeles, CA)"
University of California - Los Angeles,"Kuykendall, Fulton",1975,1985,LB,6' 5'',225,Coronado,CA,USA,"St. Patrick's (Vallejo, CA)"
University of California - Los Angeles,"La chapelle, Sean",1993,1996,WR,6' 3'',205,Sacramento,CA,USA,"Vintage (Napa Valley, CA)"
University of California - Los Angeles,"Lake, Carnell",1989,2001,CB/S,6' 1'',210,Salt Lake City,UT,USA,Culver City (CA)
University of California - Los Angeles,"Lambert, Dion",1992,1994,CB/S,6' 0'',185,Lakeview Terrace,CA,USA,"John F. Kennedy (Granda Hills, CA)"
University of California - Los Angeles,"Lee, John",1986,1986,K,5' 11'',182,Seoul,,,Downey (CA)
University of California - Los Angeles,"Lee, Larry",1981,1988,C/DL/G/HBK/OG/OL/OT,6' 2'',265,Dayton,OH,USA,"Roth (Dayton, OH)"
University of California - Los Angeles,"Leisle, Rodney",2004,2009,DT,6' 3'',309,Fresno,CA,USA,"Ridgeview (Bakersfield, CA)"
University of California - Los Angeles,"Livingston, Cliff",1954,1965,DE/LB,6' 3'',212,Compton,CA,USA,Montebello (CA)
University of California - Los Angeles,"Lodish, Mike",1990,2000,DT/NT,6' 3'',270,Detroit,MI,USA,"Brother Rice (Birmingham, MI)"
University of California - Los Angeles,"Long, Bob",1955,1962,DE/E/LB,6' 3'',232,South Pasadena,CA,USA,South Pasadena (CA)
University of California - Los Angeles,"Loudd, Rommie",1960,1962,LB,6' 2'',227,Madisonville,TX,USA,"Thomas Jefferson (Los Angeles, CA)"
University of California - Los Angeles,"Love, Duval",1985,1996,G/OG/T,6' 3'',275,Los Angeles,CA,USA,Fountain Valley (CA)
University of California - Los Angeles,"Lyman, Dell",1941,1944,T,6' 3'',223,Aberdeen,WA,USA,
University of California - Los Angeles,"Lynn, Johnny",1979,1986,CB/S,6' 0'',196,Los Angeles,CA,USA,"John Muir (Pasadena, CA)"
University of California - Los Angeles,"Maddox, Tommy",1992,2005,QB,6' 4'',220,Shreveport,LA,USA,"L.D. Bell (Hurst, TX)"
University of California - Los Angeles,"Manning, Ricky",2003,2008,DB,5' 9'',180,Fresno,CA,USA,"Edison (Fresno, CA)"
University of California - Los Angeles,"Manumaleuga, Frank",1979,1981,LB,6' 2'',245,Laie,,,"Phineas Banning (Carson, CA)"
University of California - Los Angeles,"Mathews, Ned",1941,1947,B/FB/HB,5' 10'',187,Provo,UT,USA,"Manual Arts (Los Angeles, CA)"
University of California - Los Angeles,"McAlister, James",1975,1978,RB,6' 1'',205,Little Rock,AR,USA,"Blair (Pasadena, CA)"
University of California - Los Angeles,"McBride, Tod",1999,2004,CB/S,6' 1'',207,Los Angeles,CA,USA,Walnut (CA)
University of California - Los Angeles,"McChesney, Bob",1936,1942,E,6' 2'',195,Los Angeles,CA,USA,"Franklin (Los Angeles, CA)"
University of California - Los Angeles,"Mcdougall, Gerry",1962,1964,FB,6' 2'',225,Long Beach,CA,USA,"Polytechnic (Long Beach, CA)"
University of California - Los Angeles,"Mckinnely, Phil",1976,1982,OT/T,6' 4'',248,Oakland,CA,USA,"St. Mary's (Berkeley, CA)"
University of California - Los Angeles,"Mclaughlin, Leon",1951,1955,C,6' 2'',228,San Diego,CA,USA,Santa Monica (CA)
University of California - Los Angeles,"Mcneil, Freeman",1981,1992,RB,5' 11'',214,Jackson,MS,USA,"Banning (Wilmington, CA)"
University of California - Los Angeles,"Mcneill, Fred",1974,1985,LB,6' 2'',229,Durham,NC,USA,Baldwin Park (CA)
University of California - Los Angeles,"Mcnown, Cade",1999,2000,QB,6' 1'',210,Portland,OR,USA,Hollister (CA)/West Linn (OR)
University of California - Los Angeles,"Medlock, Justin",2007,2007,K,5' 11'',201,Santa Clara,CA,USA,
University of California - Los Angeles,"Miller, Chuckie",1988,1988,CB,5' 10'',180,Anniston,AL,USA,"Polytechnic (Long Beach, CA)"
University of California - Los Angeles,"Miller, Jamir",1994,2001,DE/LB,6' 5'',266,Philadelphia,PA,USA,El Cerrito (CA)
University of California - Los Angeles,"Miller, Scott",1991,1996,WR,5' 10'',179,Phoenix,AZ,USA,El Toro (CA)
University of California - Los Angeles,"Mitchell, Freddie",2001,2004,WR,5' 11'',184,Lakeland,FL,USA,"Kathleen (Lakeland, FL)"
University of California - Los Angeles,"Montgomery, Blanchard",1983,1984,LB,6' 2'',236,Los Angeles,CA,USA,Granada Hills (CA)
University of California - Los Angeles,"Montoya, Max",1979,1994,G/OG/T,6' 5'',282,Montebello,CA,USA,LaPuente (CA)
University of California - Los Angeles,"Moore, Reynaud",1971,1971,S,6' 2'',190,Los Angeles,CA,USA,
University of California - Los Angeles,"Morgan, Karl",1984,1986,NT/T,6' 1'',255,Houma,LA,USA,"Vandebilt Catholic (Houma, LA)"
University of California - Los Angeles,"Morton, Dave",1979,1979,LB,6' 2'',224,Fresno,CA,USA,Fresno (CA)
University of California - Los Angeles,"Moss, Martin",1982,1985,DE/DT,6' 4'',252,San Diego,CA,USA,"Lincoln (San Diego, CA)"
University of California - Los Angeles,"Myers, Jack",1948,1952,FB,6' 2'',202,St. Louis,MO,USA,Ventura (CA)
University of California - Los Angeles,"Nagel, Ray",1953,1953,QB,5' 11'',177,Los Angeles,CA,USA,Los Angeles (CA)
University of California - Los Angeles,"Nece, Ryan",2002,2008,LB,6' 3'',224,San Bernardino,CA,USA,"Pacific (San Bernardino, CA)"
University of California - Los Angeles,"Neufeld, Ryan",1999,2007,TE,6' 4'',240,Los Gatos,CA,USA,"Live Oak (Morgan Hill, CA)"
University of California - Los Angeles,"Neuheisel, Rick",1987,1987,QB,6' 1'',191,Madison,WI,USA,"McClintock (Tempe, AZ)"
University of California - Los Angeles,"Norrie, David",1987,1987,QB,6' 4'',220,Boston,MA,USA,"Jesuit (Portland, OR)"
University of California - Los Angeles,"Norris, Trusse",1960,1960,DB/OE,6' 1'',190,Houston,TX,USA,"Phillis Wheatley (Houston, TX)"
University of California - Los Angeles,"Norton, Ken",1988,2000,LB,6' 2'',254,Lincoln,IL,USA,"Westchester (Los Angeles, CA)"
University of California - Los Angeles,"Novitsky, Craig",1994,1996,C/T,6' 5'',295,Washington,DC,USA,"Potomac (Dumfries, VA)"
University of California - Los Angeles,"Ogden, Jonathan",1996,2007,OT,6' 8'',339,Washington,DC,USA,"St. Alban's (Washington, DC)"
University of California - Los Angeles,"Oglesby, Paul",1960,1960,DT,6' 4'',235,San Francisco,CA,USA,"Polytechnic (Riverside, CA)"
University of California - Los Angeles,"Olson, Carl",1942,1942,T,6' 2'',206,San Francisco,CA,USA,"Fremont (Los Angeles, CA)"
University of California - Los Angeles,"Overhauser, Chad",2002,2002,OG,6' 4'',314,Sacramento,CA,USA,"Rio Americano (Sacramento, CA)"
University of California - Los Angeles,"Owens, James",1979,1984,RB/S/WR,5' 11'',188,Sacramento,CA,USA,"Norte del Rio (Sacramento, CA)"
University of California - Los Angeles,"Page, Jarrad",2006,2010,DB,6' 0'',225,Oakland,,,
University of California - Los Angeles,"Parker, Vaughn",1994,2004,G/OT,6' 3'',299,Buffalo,NY,USA,"St. Joseph's (Buffalo, NY)"
University of California - Los Angeles,"Patton, Marvcus",1990,2002,LB,6' 2'',239,Los Angeles,CA,USA,"Leuzinger (Lawndale, CA)"
University of California - Los Angeles,"Paul, Don",1948,1955,G/LB,6' 1'',228,Fresno,CA,USA,Los Angeles (CA)
University of California - Los Angeles,"Penaranda, Jairo",1981,1985,FB/RB,6' 0'',217,Barranquilla,,,"John Burroughs (Burbank, CA)"
University of California - Los Angeles,"Pentecost, John",1967,1967,G,6' 2'',250,Lawndale,CA,USA,Orange (CA)
University of California - Los Angeles,"Perry, Tab",2005,2007,WR,6' 3'',229,Milpitas,CA,USA,Milpitas (CA)
University of California - Los Angeles,"Peterson, Cal",1974,1982,LB,6' 3'',219,Los Angeles,CA,USA,Los Angeles (CA)
University of California - Los Angeles,"Phifer, Roman",1991,2005,LB,6' 4'',243,Plattsburgh,NY,USA,"South Mecklenburg (Pineville, NC)"
University of California - Los Angeles,"Pifferini, Bob",1972,1977,LB,6' 2'',226,San Jose,CA,USA,"Homestead (Sunnyvale, CA)"
University of California - Los Angeles,"Pitts, Ron",1986,1990,CB/S,5' 10'',175,Detroit,MI,USA,Orchard Park (NY)
University of California - Los Angeles,"Price, Dennis",1988,1992,CB,6' 1'',175,Los Angeles,CA,USA,"Polytechnic (Long Beach, CA)"
University of California - Los Angeles,"Primus, James",1988,1989,RB,5' 11'',196,Yuma,AZ,USA,"Sweetwater (National City, CA)"
University of California - Los Angeles,"Quarles, Bernard",1987,1987,QB,6' 2'',215,Los Angeles,CA,USA,"Jefferson (Los Angeles, CA)"
University of California - Los Angeles,"Ramsey, Tom",1986,1989,QB,6' 1'',189,Encino,CA,USA,"Kennedy (Granada Hills, CA)"
University of California - Los Angeles,"Reese, Marcus",2004,2004,LB,6' 2'',230,San Jose,CA,USA,"Oak Grove (San Jose, CA)"
University of California - Los Angeles,"Richards, Dave",1988,1996,G/OG/OT/T,6' 5'',310,Staten Island,NY,USA,"Highland Park (Dallas, TX)"
University of California - Los Angeles,"Richardson, Bob",1966,1966,CB,6' 0'',185,Minneapolis,MN,USA,"(San Diego, CA)"
University of California - Los Angeles,"Richardson, John",1967,1973,DT,6' 2'',254,Minneapolis,MN,USA,"Kearny (San Diego, CA)"
University of California - Los Angeles,"Richardson, Paul",1993,1993,WR,6' 3'',204,Chicago,IL,USA,"University (Los Angeles, CA)"
University of California - Los Angeles,"Riley, Avon",1981,1987,LB,6' 3'',240,Savannah,GA,USA,Savannah (GA)
University of California - Los Angeles,"Roan, Oscar",1975,1978,TE/WR,6' 6'',214,Dallas,TX,USA,"South Oak Cliff (Dallas, TX)"
University of California - Los Angeles,"Robinson, Jerry",1979,1991,LB,6' 2'',220,San Francisco,CA,USA,"Cardinal Newman (Santa Rosa, CA)"
University of California - Los Angeles,"Rogers, Don",1984,1985,S,6' 1'',206,Texarkana,AR,USA,"Notre del Rio (Sacramento, CA)"
University of California - Los Angeles,"Rutledge, Craig",1987,1987,S,6' 0'',190,Upland,CA,USA,"El Dorado (Placentia, CA)"
University of California - Los Angeles,"Salsbury, Jim",1955,1958,G/OG/OT,6' 1'',233,Culver City,CA,USA,"Hamilton (Los Angeles, CA)"
University of California - Los Angeles,"Sanchez, Lupe",1986,1988,CB/S,5' 10'',192,Tulare,CA,USA,"Mount Whitney (Visalia, CA)"
University of California - Los Angeles,"Sandifer, Bill",1974,1978,DE/DT,6' 6'',268,Quantico,VA,USA,Oceanside (CA)
University of California - Los Angeles,"Schroeder, Jay",1985,1994,QB,6' 4'',215,Milwaukee,WI,USA,Pacific Palisades (CA)
University of California - Los Angeles,"Sciarra, John",1978,1983,S,5' 11'',185,Los Angeles,CA,USA,"Bishop Amat (La Puente, CA)"
University of California - Los Angeles,"Scribner, Rob",1973,1976,HB/RB,6' 0'',200,Dallas,TX,USA,Van Nuys (CA)
University of California - Los Angeles,"Seidman, Mike",2003,2006,TE,6' 5'',254,Westlake,CA,USA,Westlake (CA)
University of California - Los Angeles,"Serwanga, Wasswa",1999,2001,CB,5' 11'',196,Kampala,,,Sacramento (CA)
University of California - Los Angeles,"Sharpe, Luis",1982,1994,OT,6' 4'',275,Havana,,,"Southwestern (Detroit, MI)"
University of California - Los Angeles,"Sherman, Rod",1967,1973,FL/OE/WR,6' 0'',190,Pasadena,CA,USA,"Muir (Pasadena, CA)"
University of California - Los Angeles,"Sherrard, Mike",1986,1996,WR,6' 2'',187,Oakland,CA,USA,Chino (CA)
University of California - Los Angeles,"Shinnick, Don",1957,1969,LB,6' 0'',232,Kansas City,MO,USA,San Pedro (CA)
University of California - Los Angeles,"Shipkey, Jerry",1948,1953,FB,6' 1'',213,Fullerton,CA,USA,Anaheim (CA)
University of California - Los Angeles,"Slater, Matt",2008,2010,WR,6' 0'',198,Baldwin Park,,,"Servite HS (Anaheim, CA)"
University of California - Los Angeles,"Smith, Bobby",1962,1966,DB/DHB/S,6' 0'',193,Plain Dealing,LA,USA,Compton (CA)
University of California - Los Angeles,"Smith, Hal",1960,1961,DT,6' 5'',250,Santa Monica,CA,USA,Canoga Park (CA)
University of California - Los Angeles,"Smith, Kevin",1992,1996,RB/TE,6' 4'',255,Bakersfield,CA,USA,"Skyline (Oakland, CA)"
University of California - Los Angeles,"Snelling, Ken",1945,1945,FB,6' 0'',210,Musselshell,MT,USA,"Bell (Los Angeles, CA)"
University of California - Los Angeles,"Sparlis, Al",1946,1946,G,5' 11'',185,Los Angeles,CA,USA,"Polytechnic (Los Angeles, CA)"
University of California - Los Angeles,"Stanley, Matt",2004,2004,FB,6' 3'',248,Pasadena,CA,USA,Bexley (OH)
University of California - Los Angeles,"Stansbury, Ed",2002,2002,FB,6' 0'',257,El Paso,TX,USA,"Irvin (El Paso, TX)"
University of California - Los Angeles,"Stauch, Scott",1981,1981,RB,5' 11'',204,Seattle,WA,USA,Grants Pass (OR)
University of California - Los Angeles,"Steffen, Jim",1959,1965,CB/DB/DHB/HB/S,6' 0'',196,Orange,CA,USA,Tustin (CA)
University of California - Los Angeles,"Stevens, Matt",1987,1987,QB,6' 0'',190,Sulphur,LA,USA,Fountain Valley (CA)
University of California - Los Angeles,"Stits, Bill",1954,1961,DB/DHB/HB,6' 0'',194,Lomita,CA,USA,"Narbonne (Lomita, CA)"
University of California - Los Angeles,"Stokes, J.J.",1995,2003,WR,6' 4'',219,San Diego,CA,USA,"Point Loma (San Diego, CA)"
University of California - Los Angeles,"Strode, Woody",1946,1946,E,6' 3'',205,Los Angeles,CA,USA,"Jefferson (Los Angeles, CA)"
University of California - Los Angeles,"Stroschein, Breck",1951,1951,E,6' 1'',205,Santa Ana,CA,USA,Alhambra (CA)
University of California - Los Angeles,"Tautolo, John",1982,1987,G/OT,6' 3'',260,Long Beach,CA,USA,"R.A. Millikan (Long Beach, CA)"
University of California - Los Angeles,"Tautolo, Terry",1976,1984,LB,6' 2'',235,Corona,CA,USA,"Millikan (Long Beach, CA)"
University of California - Los Angeles,"Tennell, Derek",1987,1993,RB/TE,6' 5'',245,Los Angeles,CA,USA,West Covina (CA)
University of California - Los Angeles,"Thomas, Jewerl",1980,1984,FB/RB,5' 10'',229,Hanford,CA,USA,Hanford (CA)
University of California - Los Angeles,"Thomas, Robert",2002,2008,LB,6' 0'',233,El Centro,CA,USA,Imperial (CA)
University of California - Los Angeles,"Thompson, Harry",1950,1955,G/OG,6' 2'',225,Memphis,TN,USA,Los Angeles (CA)
University of California - Los Angeles,"Titensor, Glen",1981,1988,C/G/OG,6' 4'',270,Bellflower,CA,USA,"Bolsa Grande (Garden Grove, CA)"
University of California - Los Angeles,"Townsell, Jojo",1985,1990,WR,5' 9'',180,Reno,NV,USA,"Hug (Reno, NV)"
University of California - Los Angeles,"Tuiasosopo, Manu",1979,1986,DE/DT/NT,6' 3'',260,Los Angeles,CA,USA,"St. Anthony's (Long Beach, CA)"
University of California - Los Angeles,"Tuinei, Mark",1983,1997,C/DT/OT/T,6' 5'',291,Nanakuli,HI,USA,"Punahou (Honolulu, HI)"
University of California - Los Angeles,"Turner, Eric",1991,1999,DB/S,6' 1'',212,Ventura,CA,USA,Ventura (CA)
University of California - Los Angeles,"Turner, Jimmy",1983,1987,CB/S,6' 0'',187,Sherman,TX,USA,Sherman (TX)
University of California - Los Angeles,"Turner, Marcus",1989,1995,CB/DB/S,6' 0'',190,Harbor City,CA,USA,"David Starr Jordan (Long Beach, CA)"
University of California - Los Angeles,"Tyler, Wendell",1977,1986,RB,5' 10'',205,Shreveport,LA,USA,"Crenshaw (Los Angeles, CA)"
University of California - Los Angeles,"Von Sonn, Andy",1964,1964,LB,6' 2'',223,Los Angeles,CA,USA,Reseda (CA)
University of California - Los Angeles,"Wahler, Jim",1989,1993,DT/NG,6' 4'',272,San Jose,CA,USA,"Bellarmine Prep (San Jose, CA)"
University of California - Los Angeles,"Walen, Mark",1987,1988,DT,6' 5'',262,San Francisco,CA,USA,Burlingame (CA)
University of California - Los Angeles,"Walendy, Craig",2000,2000,FB,6' 2'',228,New Brunswick,NJ,USA,Westlake (CA)
University of California - Los Angeles,"Walker, Bruce",1995,1995,NT,6' 4'',310,Compton,CA,USA,"Dominguez (Compton, CA)"
University of California - Los Angeles,"Walker, Rick",1977,1985,TE,6' 3'',236,Santa Ana,CA,USA,"Valley (Santa Ana, CA)"
University of California - Los Angeles,"Walton, Bruce",1973,1975,G/T,6' 6'',250,San Diego,CA,USA,"Helix (San Diego, CA)"
University of California - Los Angeles,"Ward, Phillip",1998,2000,LB,6' 2'',226,Gardena,CA,USA,"Pius X (Downey, CA)"
University of California - Los Angeles,"Ware, Matt",2004,2010,DB,6' 2'',209,Santa Monica,,,"Loyola (Malibu, CA)"
University of California - Los Angeles,"Washington, James",1988,1995,S,6' 1'',196,Los Angeles,CA,USA,"Jordan (Los Angeles, CA)"
University of California - Los Angeles,"Washington, Kenny",1946,1948,FB/HB,6' 2'',210,Los Angeles,CA,USA,"Lincoln (Los Angeles, CA)"
University of California - Los Angeles,"Waterfield, Bob",1945,1952,K/P/QB,6' 2'',196,Elmira,NY,USA,Van Nuys (CA)
University of California - Los Angeles,"Welch, Herb",1985,1991,CB/S,5' 11'',180,Los Angeles,CA,USA,"Warren (Downey, CA)"
University of California - Los Angeles,"Williams, Kevin",1993,1993,RB,6' 1'',215,Marshall,TX,USA,Spring (TX)
University of California - Los Angeles,"Williams, Michael",1995,1995,CB,5' 10'',185,Los Angeles,CA,USA,"Crenshaw (Los Angeles, CA)"
University of California - Los Angeles,"Williams, Shaun",1998,2006,DB,6' 2'',216,Los Angeles,CA,USA,"Crespi (Encino, CA)"
University of California - Los Angeles,"Willis, Matt",2007,2007,WR,6' 0'',195,La Palma,CA,USA,
University of California - Los Angeles,"Witcher, Dick",1966,1973,OE/SE/TE/WR,6' 3'',205,Salinas,CA,USA,Shafter (CA)
University of California - Los Angeles,"Wlliams, Dokie",1983,1987,WR,5' 11'',180,Oceanside,CA,USA,"El Camino (Oceanside, CA)"
University of California - Los Angeles,"Wrightman, Tim",1985,1986,TE,6' 4'',237,Harbor City,CA,USA,"Mary Star of the Sea (San Pedro, CA)"
University of California - Los Angeles,"Young, Mike",1985,1994,RB/WR,6' 1'',185,Hanford,CA,USA,"Mount Whitney (Visalia, CA)"
University of California - Los Angeles,"Zeno, Lance",1992,1993,C,6' 4'',279,Hollywood,CA,USA,Fountaim Valley (CA)
University of California at Santa Barbara,"Woods, Rob",1991,1991,T,6' 5'',295,Fayetteville,NC,USA,"Dos Pueblos (Goleth, CA)"
"University of California, Davis","Allen, Jeff",1980,1982,CB,5' 12'',185,Richmond,IN,USA,"Cordova (Rancho Cordova, CA)"
"University of California, Davis","Benirschke, Rolf",1977,1986,K,6' 0'',171,Boston,MA,USA,La Jolla (CA)
"University of California, Davis","Eason, Bo",1984,1987,S,6' 2'',200,Walnut Grove,CA,USA,"Delta (Walnut Grove, CA)"
"University of California, Davis","Fells, Daniel",2006,2010,TE,6' 4'',252,Anaheim,,,
"University of California, Davis","Lekkerkerker, Brad",2005,2005,OT,6' 7'',330,LaVerne,CA,USA,Damien (CA)
"University of California, Davis","Lekkerkerker, Cory",2005,2007,OT,6' 7'',324,Upland,CA,USA,Damien (CA)
"University of California, Davis","Mandeville, Chris",1987,1989,DB/S,6' 1'',213,Santa Barbara,CA,USA,Irvine (CA)
"University of California, Davis","Martini, Rich",1979,1981,WR,6' 2'',185,Berkeley,CA,USA,"Ygnacio Valley (Concord, CA)"
"University of California, Davis","Merrill, Casey",1979,1986,DE,6' 4'',255,Oakland,CA,USA,"Monte Vista (Danville, CA)"
"University of California, Davis","Moroski, Mike",1979,1986,QB,6' 4'',200,Bakersfield,CA,USA,Novato (CA)
"University of California, Davis","O'brien, Ken",1984,1993,QB,6' 4'',210,Long Island,NY,USA,"Jesuit (Sacramento, CA)"
"University of California, Davis","O'sullivan, J.T.",2003,2009,QB,6' 2'',220,Burbank,CA,USA,"Jesuit (Carmichael, CA)"
"University of California, Davis","Williams, Tom",1970,1971,DE/DT,6' 4'',250,Hempstead,NY,USA,"Rancho Cordova (Sacramento, CA)"
"University of California, Davis","Wise, Mike",1986,1991,DE,6' 7'',271,Greenbrae,CA,USA,"San Marin (Novato, CA)"
"University of California, Riverside","Basinger, Mike",1974,1974,DE,6' 3'',258,Merced,CA,USA,
"University of California, Riverside","Bolinger, Russ",1976,1985,G/OG/T,6' 5'',254,Wichita,KS,USA,Lompoc (CA)
"University of California, Riverside","Bunz, Dan",1978,1985,LB,6' 4'',227,Roseville,CA,USA,"Oakmont (Roseville, CA)"
"University of California, Riverside","Jackson, Chris",2000,2003,WR,6' 2'',204,Bristol,PA,USA,"Mater Dei (Santa Ana, CA)*"
"University of California, Riverside","Johnson, Butch",1976,1985,WR,6' 1'',191,Los Angeles,CA,USA,"Dorsey (Los Angeles, CA)"
"University of California, Riverside","Sweeney, Calvin",1980,1987,WR,6' 2'',188,Riverside,CA,USA,"Perris (Riverside, CA)"
"University of Califronia, Santa Barbara","Brooks, Steve",1996,1996,TE,6' 5'',245,Ventura,CA,USA,"Buena (Ventura, CA)"
"University of Califronia, Santa Barbara","Cathcart, Royal",1950,1950,HB,6' 0'',185,Canute,OK,USA,"Polytechnic (Long Beach, CA)"
"University of Califronia, Santa Barbara","Cathcart, Sammy",1949,1952,B/HB,6' 0'',175,Canute,OK,USA,Long Beach (CA)
"University of Califronia, Santa Barbara","Chapple, Dave",1971,1974,P,6' 0'',184,Arcadia,CA,USA,Arcadia (CA)
"University of Califronia, Santa Barbara","Franci, Jason",1966,1966,SE,6' 1'',210,Fort Bragg,CA,USA,Point Arena (CA)
"University of Califronia, Santa Barbara","Morris, Johnny",1958,1967,FL/OHB,5' 10'',180,Long Beach,CA,USA,"Polytechnic (Long Beach, CA)"
"University of Califronia, Santa Barbara","Oldershaw, Doug",1939,1941,E/G,6' 0'',195,Bakersfield,CA,USA,
"University of Califronia, Santa Barbara","Yeager, Howie",1941,1941,HB,6' 0'',178,Orosi,CA,USA,
University of Central Arkansas,"Burnett, Ray",1938,1938,HB,,,New Hope,AR,USA,
University of Central Arkansas,"Burnette, Dave",1987,1987,T,6' 6'',278,Parkin,AR,USA,Parkin (AR)
University of Central Arkansas,"Burrow, Curtis",1988,1988,K,5' 11'',185,Brinkley,AR,USA,Brinkley (AR)
University of Central Arkansas,"Coleman, Monte",1979,1994,LB,6' 3'',227,Pine Bluff,AR,USA,Pine Bluff (AR)
University of Central Arkansas,"Davis, Tyree",1995,1997,WR,5' 9'',175,Altheimer,AR,USA,Altheimer (AR)
University of Central Arkansas,"Davis, Willie",1991,1998,WR,6' 0'',188,Little Rock,AR,USA,Altheimer (AR)
University of Central Arkansas,"Evans, David",1986,1987,CB,6' 0'',178,Naples,TX,USA,"Paul H. Pewitt (Naples, TX)"
University of Central Arkansas,"Mcgibbony, Charlie",1944,1944,HB,5' 10'',160,Pine Bluff,AR,USA,
University of Central Florida,"Carrington, Paul",2006,2007,DE,6' 7'',250,Savannah,GA,USA,
University of Central Florida,"Culpepper, Daunte",1999,2009,QB,6' 4'',257,Ocala,FL,USA,"Vanguard (Ocala, FL)"
University of Central Florida,"Davis, Elgin",1987,1988,RB,5' 10'',192,Jacksonville,FL,USA,"Ribault (Jacksonville, FL)"
University of Central Florida,"Edwards, Steve",2002,2006,OT,6' 5'',340,Chicago,IL,USA,"Mount Carmel (Chicago, IL)"
University of Central Florida,"Fisher, Travis",2002,2009,DB,5' 10'',188,Tallahassee,FL,USA,"Godby (Tallahassee, FL)"
University of Central Florida,"Flinn, Ryan",2005,2005,P,6' 5'',210,Fort Myers,FL,USA,Lehigh (FL)
University of Central Florida,"Ford, Bernard",1989,1990,WR,5' 9'',168,Cordele,GA,USA,"Crisp County (Cordele, GA)"
University of Central Florida,"Gabriel, Doug",2003,2006,WR,6' 2'',215,Miami,FL,USA,"Dr. Phillips (Orlando, FL)"
University of Central Florida,"Gaines, Michael",2004,2009,TE,6' 2'',275,Tallahassee,FL,USA,"Florida (Tallahassee, FL)"
University of Central Florida,"Green, Cornell",2002,2010,G/OG/OT,6' 6'',320,St. Petersburg,,,"Lakewood (St. Petersburg, FL)"
University of Central Florida,"Gruttadauria, Mike",1996,2002,C/OG,6' 4'',283,Fort Lauderdale,FL,USA,Trapon Springs (FL)
University of Central Florida,"Hamilton, Rick",1993,1996,LB,6' 2'',241,Inverness,FL,USA,"Citrus (Inverness, FL)"
University of Central Florida,"Hart, Clinton",2003,2009,DB,6' 0'',205,Dade City,FL,USA,"South Sumter (Bushnell, FL)"
University of Central Florida,"Haynes, Alex",2007,2008,RB,5' 10'',225,Tallahassee,FL,USA,
University of Central Florida,"Jeanty, Rashad",2006,2009,LB,6' 2'',245,Miami,FL,USA,
University of Central Florida,"Jefferson, Greg",1995,1999,DE,6' 3'',268,Orlando,FL,USA,Bartow (FL)
University of Central Florida,"Jefferson, Shawn",1991,2003,WR,5' 11'',183,Jacksonville,FL,USA,"Raines (Jacksonville, FL)"
University of Central Florida,"Johnson, Darcy",2006,2010,,6' 5'',252,St. Augustine,,,Palatka HS
University of Central Florida,"Jones, Willie",2001,2002,OT,6' 6'',256,Belle Glade,FL,USA,"Glades Central (Belle Glade, FL)"
